Xcode                    xcode
Swift                    swift
Ionic                    ionic
Javascript               javascript
NodeJS                   nodejs
ReactJS                  reactjs
Redux                    redux
Database                 database
ES6                      es6
CSS                      css
HTML                     html
AngularJS                angularjs
Express Server           expressServer
Python                   python
Package Manager          packageManager
Java                     java
Processing               processing
Design Process           designProcess
User Experience          userExperience
User Interface           userInterface
Graphic Design           graphicDesign
Unix                     unix
MacOS                    macos
VIM                      vim
Terminal                 terminal
GitHub                   github
Animations               animations
Backend Server           backendServer
Reflection               reflection
Tutorial                 tutorial
Source Code              sourceCode
Internship               internship
Project                  project
Hackathon                hackathon
