7598f9b,Kevin Hou,5 minutes ago,Removed border from top and bottom of header
9da3c2e,Kevin Hou,11 minutes ago,Style changes. Updated post-meta section of blog post
3dcae77,Kevin Hou,25 minutes ago,Took out capitalization of first letters because of too many bugs
89ae937,Kevin Hou,36 minutes ago,Updated blog content styling
26beb10,Kevin Hou,43 minutes ago,Stylized Blog Post Header
9cc41ba,Kevin Hou,2 hours ago,Added image property to each blog post
31ce4c2,Kevin Hou,2 hours ago,Updated tags on blog posts
d05736e,khou22,2 days ago,New blog post on the digital design process
393214b,khou22,4 days ago,Update blog post
79f8114,khou22,4 days ago,Added new blog post: Advances in UIKit Animations and Transitions
ccd6503,khou22,5 days ago,Added source files for blog post on page based iOS app
4cab487,khou22,5 days ago,New blog post on making a page-based app in Swift
230f32b,Kevin Hou,5 days ago,Update 2016-06-20-internationalizing-your-ios-app-in-xcode-7.md
985f875,Kevin Hou,7 days ago,Updated blog post
4e4b245,Kevin Hou,9 days ago,Updated blog post
52ff247,Kevin Hou,11 days ago,New blog post on WWDC 2016 Internationalization
b27b76a,Kevin Hou,11 days ago,Landing Page First Image Not Working Correctly
c371c93,Kevin Hou,12 days ago,Update 2016-06-20-internationalizing-your-ios-app-in-xcode-7.md
7f9fd90,Kevin Hou,13 days ago,Updated blog post
fdc7716,Kevin Hou,13 days ago,New blog post on localization
bd599ff,Kevin Hou,2 weeks ago,Let users know 404.html is a work in progress
b267d30,Kevin Hou,3 weeks ago,Updated build
c271a29,Kevin Hou,3 weeks ago,Updated build
dd150cd,Kevin Hou,4 weeks ago,Added filters for each icon
0abac37,Kevin Hou,5 weeks ago,New blog post on the KHou bowl
fe57525,Kevin Hou,5 weeks ago,Updated build
1c8c75b,Kevin Hou,5 weeks ago,Updated build
4e98d3c,Kevin Hou,5 weeks ago,Update README.md
14d02f8,Kevin Hou,5 weeks ago,Added new projects to landing page
cd54fa1,Kevin Hou,6 weeks ago,Added lock box image to landing page
00f76d1,Kevin Hou,6 weeks ago,Updated build
7d6f3b1,Kevin Hou,6 weeks ago,Updated build
616beb2,Kevin Hou,6 weeks ago,Updated build
6edd3b5,Kevin Hou,6 weeks ago,Fixed spelling
5158b61,Kevin Hou,6 weeks ago,Updated content
342d37a,Kevin Hou,6 weeks ago,Updated bibliography
07a604a,Kevin Hou,6 weeks ago,Updated content for China
e6cd33c,Kevin Hou,6 weeks ago,Bug fixes. Can't highlight text on landing page
b383365,Kevin Hou,6 weeks ago,Fixed page titles. Added new video. Minor bug fixes.
01649ac,Kevin Hou,7 weeks ago,Added favicon and google analytics
34bba7d,Kevin Hou,7 weeks ago,Updated background image
478ac3b,Kevin Hou,7 weeks ago,Added theater.js
feb7baa,Kevin Hou,7 weeks ago,Bug fix
ee1d81c,Kevin Hou,7 weeks ago,MVP Complete
a5dc281,Kevin Hou,7 weeks ago,Updated landing page. Style changes. Bug fixes.
0f95207,Kevin Hou,7 weeks ago,Fixed broken reference link
b1d779c,Kevin Hou,7 weeks ago,Fixed broken link in projects page
d99a29e,Kevin Hou,7 weeks ago,Added East Asian Relations website to the projects page
d04bcd0,Kevin Hou,7 weeks ago,Added new images. Minor bug fixes
e0cd6c6,Kevin Hou,7 weeks ago,Migrated to diffracted JS file for React
bd38632,Kevin Hou,7 weeks ago,Imported East Asian Relations site
38ed949,Kevin Hou,7 weeks ago,Updated "Contact" page
91724b3,Kevin Hou,7 weeks ago,Updated build
9b6efb8,Kevin Hou,7 weeks ago,Updated weather channel bar link. Button links now open in same tab
ea6b16b,Kevin Hou,8 weeks ago,Fixed styling bug
1b85e18,Kevin Hou,8 weeks ago,Added SimpleWeatherJS library to website. Working weather notification on browser home page.
bf18af6,Kevin Hou,8 weeks ago,Changed programming portfolio link on landing page
29682d3,Kevin Hou,8 weeks ago,Added project name/link for each background image on the landing page
78dad6a,Kevin Hou,8 weeks ago,New blog post on YouTube channel artwork
8607df0,Kevin Hou,8 weeks ago,Updated build.
e5f4587,Kevin Hou,8 weeks ago,Added link to Khou segmented bowl YouTube video.
b9e4498,Kevin Hou,9 weeks ago,Increased load times. Changed file size, name, etc.
6a20390,Kevin Hou,9 weeks ago,Added notification message on landing page for announcements, new projects/videos, etc.
928d529,Kevin Hou,9 weeks ago,Added images to project list
24df285,Kevin Hou,9 weeks ago,Added new blog post on hackathon. Blog post is a complete final draft.
dc36142,Kevin Hou,9 weeks ago,Added in Twitter Screenshots
fa9cf32,Kevin Hou,9 weeks ago,New blog post on Octocat design (haven't added screenshots yet). Added new post category: Design.
31b2eb7,Kevin Hou,9 weeks ago,Added new background to landing page
e2a874c,Kevin Hou,9 weeks ago,Changed size to increase load times
e0f4b46,Kevin Hou,9 weeks ago,Added KHou segmented bowl picture to website
af06055,Kevin Hou,9 weeks ago,Updated links for projects. Continuing to add content
b5e88db,Kevin Hou,10 weeks ago,Added tags and updated projects page
91ea86e,Kevin Hou,10 weeks ago,Moved apps into project folder. Other minor changes to tags/categories
b3a237f,Kevin Hou,10 weeks ago,Updated blog post. Added designs and screenshots of Uber Scheduler.
c0014d5,Kevin Hou,10 weeks ago,Added note about pages in progress
e990f9a,Kevin Hou,10 weeks ago,Updated blog posts and header style
366e80d,Kevin Hou,10 weeks ago,Updated project posts
5ee48eb,Kevin Hou,2 months ago,Updated blog post and project page for Uber Scheduler
1fe967c,Kevin Hou,2 months ago,Updated links
8916226,Kevin Hou,2 months ago,Update 404.html
aeae319,Kevin Hou,2 months ago,Update README.md
04e913c,Kevin Hou,2 months ago,Started blog post on Uber Scheduler
b8f00b5,Kevin Hou,2 months ago,Update README.md
f7ad4f3,Kevin Hou,3 months ago,Added Uber Scheduler and Execute Order 66 to projects page. Added some screenshots and updated header.
ced15f1,Kevin Hou,3 months ago,Updated links and other minor changes
29db0a4,Kevin Hou,3 months ago,Updated links and icons
5732cee,Kevin Hou,3 months ago,Working link hover. Restructured code to make it cleaner and more efficient.
fb159b5,Kevin Hou,3 months ago,Hover over button label reveal works. Still buggy and the icon does not disappear yet
a695247,Kevin Hou,3 months ago,Beginning to bring the button hover effect over from the landing page to the browser home page
879e621,Kevin Hou,3 months ago,Minor bug fixes. Added random color.
7bf86da,Kevin Hou,3 months ago,Bug fix on blog post
fd4ea54,Kevin Hou,3 months ago,Updated site nav bar to link drag/drop project
4a0b96e,Kevin Hou,3 months ago,Styling updates. Can now add/delete new equations
0046769,Kevin Hou,3 months ago,Taking a break on the Desmos drag/drop project.
5cd9486,Kevin Hou,3 months ago,Working MVP
5a3c9e7,Kevin Hou,3 months ago,Can move items down on the list now
8fd28f4,Kevin Hou,3 months ago,List reordering works. Can move items up the list now.
4116399,Kevin Hou,3 months ago,Drag and dropping somewhat works. No functionality, but it identifies what's being dragged/dropped.
63577fd,Kevin Hou,3 months ago,Added in group icons and link icons. Minor bug fixes.
f6f3277,Kevin Hou,3 months ago,Restructured browser home page. Much cleaner.
ddce7aa,Kevin Hou,3 months ago,Added in click functionality for group buttons (not for subgroup buttons). Changed cursor to pointer on buttons.
12f8a97,Kevin Hou,3 months ago,Working Animations. Added the "Personal" group of links.
dbb26cc,Kevin Hou,3 months ago,Small Style Changes
0ffc55d,Kevin Hou,3 months ago,Added clock. TheaterJS effect welcome text. Show/hide links. Moved profile picture. Changed design.
64e0de9,Kevin Hou,3 months ago,Started adding button groups/subgroups
d56734c,Kevin Hou,3 months ago,Tried to Pull Bing Wallpaper URLs. Doesn't work because of the way Bing changes their images
5fd8f2d,Kevin Hou,3 months ago,Started working on widgets
71be2c0,Kevin Hou,3 months ago,Updated Page Home Page Title
4282ae0,Kevin Hou,3 months ago,Improved File Structure for Browser Home Page
77b923c,Kevin Hou,4 months ago,Browser Home Page Google Earth Backgrounds Work. Updated site Nav Bar
991e206,Kevin Hou,4 months ago,Updated the Good Image Indexes
e198dd2,Kevin Hou,4 months ago,Wrote Python Functions to Standardize Writing Javascript Code
cf5fa64,Kevin Hou,4 months ago,Improved UI. Added progress bar, etc.
f43bb25,Kevin Hou,4 months ago,Python Script Works! Successfully integrated with the main Javascript file
d748435,Kevin Hou,4 months ago,Python script gets all working Google Earth image links. Creates javascript file to be accessed by main Javascript file.
6a51f2a,Kevin Hou,4 months ago,Started New App: Browser Home Page
d7f8516,Kevin Hou,4 months ago,Updated build
bdeaf84,Kevin Hou,4 months ago,Updated Blog Post
b287782,Kevin Hou,4 months ago,New Blog Post on Services in Angular
f5bd00f,Kevin Hou,4 months ago,Edited Blog Post
380ec75,Kevin Hou,4 months ago,Edited and updated blog posts.
3ea4663,Kevin Hou,4 months ago,New blog post on using the CNC router with SketchUp and Aspire
17f282a,Kevin Hou,4 months ago,Added new design files
f49cdfb,Kevin Hou,4 months ago,Updated blog post
